Source,Destination,Protocol
192.168.1.2,4.2.2.3,DNS
192.168.1.2,4.2.2.4,DNS
192.168.1.2,63.245.209.10,HTTP
192.168.1.2,63.245.209.10,TCP
192.168.1.2,63.245.209.91,TCP
192.168.1.2,63.245.209.91,TLSv1
192.168.1.2,63.245.209.93,HTTP
192.168.1.2,63.245.209.93,TCP
192.168.1.2,64.4.18.73,HTTP
192.168.1.2,64.4.18.73,TCP
192.168.1.2,65.242.27.32,HTTP
192.168.1.2,65.242.27.32,TCP
192.168.1.2,65.54.87.223,HTTP
192.168.1.2,65.54.87.223,TCP
192.168.1.2,65.54.87.229,HTTP
192.168.1.2,65.54.87.229,TCP
192.168.1.2,65.55.119.90,HTTP
192.168.1.2,65.55.119.90,TCP
192.168.1.2,65.55.149.121,HTTP
192.168.1.2,65.55.149.121,TCP
192.168.1.2,65.55.15.124,HTTP
192.168.1.2,65.55.15.124,TCP
192.168.1.2,65.55.15.125,HTTP
192.168.1.2,65.55.15.125,TCP
192.168.1.2,65.55.15.241,HTTP
192.168.1.2,65.55.15.241,TCP
192.168.1.2,65.55.17.26,HTTP
192.168.1.2,65.55.17.26,TCP
192.168.1.2,65.55.17.27,HTTP
192.168.1.2,65.55.17.27,TCP
192.168.1.2,65.55.18.18,HTTP
192.168.1.2,65.55.18.18,TCP
192.168.1.2,65.55.184.27,HTTP
192.168.1.2,65.55.184.27,TCP
192.168.1.2,65.55.239.164,HTTP
192.168.1.2,65.55.239.164,TCP
192.168.1.2,65.55.239.188,HTTP
192.168.1.2,65.55.239.188,TCP
192.168.1.2,65.55.53.190,HTTP
192.168.1.2,65.55.53.190,TCP
192.168.1.2,65.55.53.190,TLSv1
192.168.1.2,66.235.139.54,HTTP
192.168.1.2,66.235.139.54,TCP
192.168.1.2,68.216.79.113,TCP
192.168.1.2,69.22.138.139,HTTP
192.168.1.2,69.22.138.139,TCP
192.168.1.2,74.124.204.130,HTTP
192.168.1.2,74.124.204.130,TCP
192.168.1.2,74.125.103.103,HTTP
192.168.1.2,74.125.103.103,TCP
192.168.1.2,74.125.127.100,HTTP
192.168.1.2,74.125.127.100,TCP
192.168.1.2,74.125.127.101,HTTP
192.168.1.2,74.125.127.101,TCP
192.168.1.2,74.125.127.109,TCP
192.168.1.2,74.125.127.109,TLSv1
192.168.1.2,74.125.127.113,HTTP
192.168.1.2,74.125.127.113,TCP
192.168.1.2,74.125.127.136,TCP
192.168.1.2,74.125.127.136,TLSv1
192.168.1.2,74.125.127.138,HTTP
192.168.1.2,74.125.127.138,TCP
192.168.1.2,74.125.127.139,HTTP
192.168.1.2,74.125.127.139,TCP
192.168.1.2,74.125.127.148,HTTP
192.168.1.2,74.125.127.148,TCP
192.168.1.2,74.125.127.91,TCP
192.168.1.2,74.125.127.91,TLSv1
192.168.1.2,74.125.127.96,HTTP
192.168.1.2,74.125.127.96,TCP
192.168.1.2,74.125.127.99,HTTP
192.168.1.2,74.125.127.99,TCP
192.168.1.2,74.125.127.99,TLSv1
192.168.1.2,74.125.15.153,HTTP
192.168.1.2,74.125.15.153,TCP
192.168.1.2,74.125.15.18,HTTP
192.168.1.2,74.125.15.18,TCP
192.168.1.2,74.125.15.35,HTTP
192.168.1.2,74.125.15.35,TCP
192.168.1.2,74.125.155.100,HTTP
192.168.1.2,74.125.155.100,TCP
192.168.1.2,74.125.155.102,HTTP
192.168.1.2,74.125.155.102,TCP
192.168.1.2,74.125.155.138,HTTP
192.168.1.2,74.125.155.138,TCP
192.168.1.2,74.125.155.139,HTTP
192.168.1.2,74.125.155.139,TCP
192.168.1.2,74.125.155.147,HTTP
192.168.1.2,74.125.155.147,TCP
192.168.1.2,74.125.155.149,HTTP
192.168.1.2,74.125.155.149,TCP
192.168.1.2,74.125.155.190,HTTP
192.168.1.2,74.125.155.190,TCP
192.168.1.2,74.125.164.151,HTTP
192.168.1.2,74.125.164.151,TCP
192.168.1.2,74.125.164.153,HTTP
192.168.1.2,74.125.164.153,TCP
192.168.1.2,74.125.164.161,HTTP
192.168.1.2,74.125.164.161,TCP
192.168.1.2,74.125.164.208,HTTP
192.168.1.2,74.125.164.208,TCP
192.168.1.2,74.125.164.229,HTTP
192.168.1.2,74.125.164.229,TCP
192.168.1.2,74.125.164.82,HTTP
192.168.1.2,74.125.164.82,TCP
192.168.1.2,74.125.53.100,HTTP
192.168.1.2,74.125.53.100,TCP
192.168.1.2,74.125.53.102,HTTP
192.168.1.2,74.125.53.102,TCP
192.168.1.2,74.125.53.138,HTTP
192.168.1.2,74.125.53.138,TCP
192.168.1.2,74.125.53.138,TLSv1
192.168.1.2,74.125.53.149,HTTP
192.168.1.2,74.125.53.149,TCP
192.168.1.2,74.125.53.154,HTTP
192.168.1.2,74.125.53.154,TCP
192.168.1.2,74.125.53.157,HTTP
192.168.1.2,74.125.53.157,TCP
192.168.1.2,77.67.44.206,HTTP
192.168.1.2,77.67.44.206,TCP
192.168.1.2,8.5.245.66,HTTP
192.168.1.2,8.5.245.66,TCP
192.168.1.2,82.94.164.162,HTTP
192.168.1.2,82.94.164.162,TCP
192.168.1.2,87.106.1.47,HTTP/XML
192.168.1.2,87.106.1.47,TCP
192.168.1.2,87.106.1.89,HTTP/XML
192.168.1.2,87.106.1.89,TCP
192.168.1.2,87.106.12.47,HTTP/XML
192.168.1.2,87.106.12.47,TCP
192.168.1.2,87.106.12.77,HTTP/XML
192.168.1.2,87.106.12.77,TCP
192.168.1.2,87.106.13.61,TCP
192.168.1.2,87.106.13.62,HTTP/XML
192.168.1.2,87.106.13.62,TCP
192.168.1.2,87.106.66.233,HTTP/XML
192.168.1.2,87.106.66.233,TCP
192.168.1.2,87.106.9.29,HTTP/XML
192.168.1.2,87.106.9.29,TCP
192.168.1.2,91.189.94.4,NTP
192.168.1.2,96.17.110.137,HTTP
192.168.1.2,96.17.110.137,TCP
192.168.1.2,96.17.110.139,HTTP
192.168.1.2,96.17.110.139,TCP
192.168.1.2,96.17.148.121,HTTP
192.168.1.2,96.17.148.121,TCP
192.168.1.2,96.6.127.147,HTTP
192.168.1.2,96.6.127.147,TCP
192.168.1.3,131.247.103.14,SSLv2
192.168.1.3,131.247.103.14,TCP
192.168.1.3,131.247.103.14,TLSv1
192.168.1.3,17.151.16.20,NTP
192.168.1.3,174.16.202.71,UDP
192.168.1.3,192.168.1.1,DNS
192.168.1.3,192.168.1.1,NAT-PMP
192.168.1.3,192.168.1.255,NBNS
192.168.1.3,204.9.163.158,HTTP
192.168.1.3,204.9.163.158,TCP
192.168.1.3,224.0.0.2,IGMPv2
192.168.1.3,224.0.0.251,IGMPv2
192.168.1.3,224.0.0.251,MDNS
192.168.1.3,239.255.255.250,SSDP
192.168.1.3,24.167.33.51,SSLv2
192.168.1.3,24.167.33.51,TCP
192.168.1.3,24.167.33.51,TLSv1
192.168.1.3,63.252.244.170,UDP
192.168.1.3,66.140.34.43,SSLv2
192.168.1.3,66.140.34.43,TCP
192.168.1.3,66.140.34.43,TLSv1
192.168.1.3,66.31.137.166,UDP
192.168.1.3,67.159.83.125,SSLv2
192.168.1.3,67.159.83.125,TCP
192.168.1.3,67.159.83.125,TLSv1
192.168.1.3,67.173.69.10,TCP
192.168.1.3,67.228.110.120,HTTP
192.168.1.3,67.228.110.120,TCP
192.168.1.3,68.13.85.84,TCP
192.168.1.3,70.128.12.114,SSLv2
192.168.1.3,70.128.12.114,TCP
192.168.1.3,70.128.12.114,TLSv1
192.168.1.3,70.15.139.205,TCP
192.168.1.3,70.173.120.121,SSLv2
192.168.1.3,70.173.120.121,TCP
192.168.1.3,70.173.120.121,TLSv1
192.168.1.3,70.233.141.111,UDP
192.168.1.3,74.190.66.137,UDP
192.168.1.3,74.73.211.157,SSLv2
192.168.1.3,74.73.211.157,TCP
192.168.1.3,74.73.211.157,TLSv1
192.168.1.3,98.119.179.100,SSLv2
192.168.1.3,98.119.179.100,TCP
192.168.1.3,98.119.179.100,TLSv1
192.168.1.3,192.168.1.1,ICMP
192.168.1.1,192.168.1.3,ICMP
192.168.1.50,192.101.21.1,NTP
192.168.1.50,192.168.1.1,DNS
192.168.1.50,192.43.244.18,NTP
192.168.1.50,207.46.197.32,NTP
192.168.1.50,207.46.232.182,NTP
192.168.1.50,4.2.2.3,DNS
192.168.1.50,4.2.2.4,DNS
192.221.100.126,192.168.1.2,HTTP
192.221.100.126,192.168.1.2,TCP
193.1.193.64,192.168.1.2,HTTP
193.1.193.64,192.168.1.2,TCP
198.189.255.75,192.168.1.102,HTTP
198.189.255.75,192.168.1.102,TCP
198.189.255.75,192.168.1.103,TCP
198.189.255.75,192.168.1.104,HTTP
198.189.255.75,192.168.1.104,TCP
198.189.255.75,192.168.1.105,HTTP
198.189.255.75,192.168.1.105,HTTP/XML
198.189.255.75,192.168.1.105,TCP
198.189.255.89,192.168.1.102,HTTP
198.189.255.89,192.168.1.102,TCP
198.189.255.89,192.168.1.104,HTTP
198.189.255.89,192.168.1.104,TCP
199.184.215.2,192.168.1.105,HTTP
199.184.215.2,192.168.1.105,HTTP/XML
199.184.215.2,192.168.1.105,TCP
199.7.48.72,192.168.1.2,TCP
199.7.50.72,192.168.1.2,OCSP
199.7.50.72,192.168.1.2,TCP
199.7.57.72,192.168.1.2,TCP
199.7.58.72,192.168.1.2,TCP
204.9.163.158,192.168.1.3,HTTP
204.9.163.158,192.168.1.3,TCP
207.46.148.31,192.168.1.2,TCP
207.46.21.123,192.168.1.102,HTTP
207.46.21.123,192.168.1.102,TCP
207.46.21.123,192.168.1.102,TLSv1
207.46.21.123,192.168.1.2,HTTP
207.46.21.123,192.168.1.2,TCP
207.46.21.123,192.168.1.2,TLSv1
207.46.21.124,192.168.1.2,HTTP
207.46.21.124,192.168.1.2,TCP
208.111.148.194,192.168.1.2,HTTP
208.111.148.194,192.168.1.2,TCP
208.111.157.124,192.168.1.2,HTTP
208.111.157.124,192.168.1.2,TCP
208.111.157.163,192.168.1.2,HTTP
208.111.157.163,192.168.1.2,TCP
208.111.170.88,192.168.1.104,HTTP
208.111.170.88,192.168.1.104,TCP
208.117.252.165,192.168.1.2,HTTP
208.117.252.165,192.168.1.2,TCP
208.97.132.223,192.168.1.2,TCP
208.97.132.223,192.168.1.2,TLSv1
209.107.207.40,192.168.1.2,HTTP
209.107.207.40,192.168.1.2,TCP
209.107.207.81,192.168.1.2,HTTP
209.107.207.81,192.168.1.2,TCP
212.227.96.110,192.168.1.102,HTTP
212.227.96.110,192.168.1.102,TCP
